,n_orin,o_orin,sales_n,sales_o,week,pct_change
368,120476100,120500894,38.106851611919794,0.0,3,100.0
369,120476100,120500894,39.946492724219375,0.0,4,100.0
370,120476100,120500894,54.926427495801654,0.0,5,100.0
371,120476100,120500894,51.50995114438816,0.0,6,100.0
372,120481700,120547511,15.768352391139224,0.0,1,100.0
373,120481700,120547511,0.0,0.0,2,100.0
374,120481700,120547511,0.0,0.0,3,100.0
375,120481700,120547511,19.710440488924043,0.0,4,100.0
376,120481700,120547511,0.0,0.0,5,100.0
377,120481700,120547511,21.81288747440926,0.0,6,100.0
378,120481718,120547511,34.164763514135,0.0,1,100.0
379,120481718,120547511,0.0,0.0,2,100.0
380,120481718,120547511,0.0,0.0,3,100.0
381,120481718,120547511,41.5233279633333,0.0,4,100.0
382,120481718,120547511,0.0,0.0,5,100.0
383,120481718,120547511,63.33621543774259,0.0,6,100.0
384,120481742,120517514,1.8396411122995637,0.0,1,100.0
385,120481742,120517514,0.0,0.0,2,100.0
386,120481742,120517514,0.0,0.0,3,100.0
387,120481742,120517514,2.890864605042185,0.0,4,100.0
388,120481742,120517514,3.153670478227837,0.0,5,100.0
389,120481742,120517514,4.46769984415611,0.0,6,100.0
390,120621291,120517514,0.0,0.0,1,100.0
391,120621291,120517514,0.0,0.0,2,100.0
392,120621291,120517514,0.26280587318565246,0.0,3,100.0
393,120621291,120517514,0.0,0.0,4,100.0
394,120621291,120517514,0.26280587318565246,0.0,5,100.0
395,120621291,120517514,0.5256117463713049,0.0,6,100.0
396,120621303,120517514,0.5256117463713049,0.0,1,100.0
397,120621303,120517514,0.0,0.0,2,100.0
398,120621303,120517514,0.0,0.0,3,100.0
399,120621303,120517514,0.5256117463713049,0.0,4,100.0
400,120621303,120517514,0.0,0.0,5,100.0
401,120621303,120517514,0.26280587318565246,0.0,6,100.0
402,120481751,120488881,0.0,0.0,1,100.0
403,120481751,120488881,0.0,0.0,2,100.0
404,120481751,120488881,0.0,0.0,3,100.0
405,120481751,120488881,0.0,0.0,4,100.0
406,120481751,120488881,0.0,0.0,5,100.0
407,120481751,120488881,0.0,0.0,6,100.0
408,120491879,120492548,0.0,0.0,1,100.0
409,120491879,120492548,0.0,0.0,2,100.0
410,120491879,120492548,56.766068608101236,0.0,3,100.0
411,120491879,120492548,19.184828742552728,0.0,4,100.0
412,120491879,120492548,18.39641112299577,53.349592256687735,5,-65.51724137931035
413,120491879,120492548,14.979934771582267,42.04893970970462,6,-64.37500000000001
414,120498878,120489306,0.0,1055.9539984599576,1,-100.0
415,120498878,120489306,599.1973908632909,2662.2234953706743,2,-77.49259624876605
416,120498878,120489306,761.0858087456538,584.4802619648943,3,30.215827338129504
417,120498878,120489306,848.0745527701052,21.550081601223606,4,3835.3658536585394
418,120498878,120489306,761.3486146188394,8.146982068755264,5,9245.161290322589
419,120498878,120489306,555.3088100412867,3.9420880977848047,6,13986.666666666682
420,120505513,120509291,0.0,0.0,1,100.0
421,120505513,120509291,5375.431330139365,2111.6451910467295,2,154.5612943372744
422,120505513,120509291,3712.921376366918,2377.3419288374257,3,56.1795268627017
423,120505513,120509291,4306.599843893311,1643.5879309030797,4,162.0243044451551
424,120505513,120509291,2697.7022882507376,1205.7533461757803,5,123.73583260680034
425,120505513,120509291,773.4376847853795,1124.2835254882275,6,-31.20617110799439
426,120547473,120509291,337.968352916751,0.0,1,100.0
427,120547473,120509291,1233.085156987088,2111.6451910467295,2,-41.60547604231488
428,120547473,120509291,854.381893726561,2377.3419288374257,3,-64.06146363033385
429,120547473,120509291,989.9897242903585,1643.5879309030797,4,-39.76654940837863
430,120547473,120509291,1074.3504095829533,1205.7533461757803,5,-10.897994768962514
431,120547473,120509291,910.3595447151051,1124.2835254882275,6,-19.027582982702203
432,120507682,120498878,0.0,0.0,1,100.0
433,120507682,120498878,11.300652546983114,599.1973908632909,2,-98.1140350877193
434,120507682,120498878,78.57895608251052,761.0858087456538,3,-89.67541436464089
435,120507682,120498878,82.78385005348098,848.0745527701052,4,-90.23861171366595
436,120507682,120498878,67.8039152818987,761.3486146188394,5,-91.09423541594754
437,120507682,120498878,80.94420894118139,555.3088100412867,6,-85.42356838618079
438,120507691,120498878,0.0,0.0,1,100.0
